2023-05-18 15:25:08,544 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:25:08,583 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:25:11,199 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:25:11,232 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 15:25:11,908 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 15:25:12,020 [9] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 15:45:46,817 [22] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 15:45:46,856 [22] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 15:45:55,295 [22] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 15:45:55,346 [22] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 15:45:55,974 [22] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 15:45:56,068 [22] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:00:51,065 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:00:51,104 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:00:51,207 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements - 40BM805.xlsx, type=bom, file_variation=2
2023-05-18 16:00:51,239 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:00:51,243 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements - 40BM805.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:00:51,338 [6] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:01:22,012 [19] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:01:22,013 [19] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
